number,date,VCRIX,CRIX
685,18/3/17,616.0279106,25576.65807
684,18/3/16,642.2502667,25339.2001
683,18/3/15,538.4591408,25265.76598
682,18/3/14,560.3686227,28246.69759
681,18/3/13,572.9050581,28409.14445
680,18/3/12,565.6859911,29277.38383
679,18/3/11,568.3417445,27605.30285
678,18/3/10,592.4032092,28802.07962
677,18/3/9,573.9047996,28823.83893
676,18/3/8,542.2354682,30696.70095
675,18/3/7,522.1780389,32911.62332
674,18/3/6,544.3929896,34946.61018
673,18/3/5,567.1836158,34851.2297
672,18/3/4,591.3157257,34542.5149
671,18/3/3,616.4668216,34373.0474
670,18/3/2,634.0445623,34186.74082
669,18/3/1,645.2374316,33050.14601
668,18/2/28,645.2374316,34345.64498
667,18/2/27,660.1516837,33724.08675
666,18/2/26,687.8418098,32282.40118
665,18/2/25,689.32612,32015.47341
664,18/2/24,705.6835856,33774.23807
663,18/2/23,734.1163979,32399.78765
662,18/2/22,763.5856442,36690.59834
661,18/2/21,795.0951602,36983.0935
660,18/2/20,822.1709244,37130.18792
659,18/2/19,832.9050044,35841.86338
658,18/2/18,849.5821847,37914.44971
657,18/2/17,885.3814803,35814.37807
656,18/2/16,916.546281,35447.94334
655,18/2/15,913.5836789,34142.12374
654,18/2/14,948.2631453,30889.20396
653,18/2/13,968.4941644,32006.79571
652,18/2/12,996.9921373,29718.34312
651,18/2/11,1039.345013,31282.48985
650,18/2/10,1059.297652,31198.67834
649,18/2/9,1056.220809,28990.84918
648,18/2/8,1092.763614,26497.8278
647,18/2/7,1051.246862,27411.28287
646,18/2/6,843.8326043,24039.06858
645,18/2/5,814.8674649,29516.75724
644,18/2/4,843.9263175,32465.31762
643,18/2/3,854.7594275,31452.83534
642,18/2/2,784.528445,33370.50543
641,18/2/1,814.8723418,37667.68313
640,18/1/31,814.8723418,36777.1191
639,18/1/30,848.9464093,41288.77912
638,18/1/29,864.3151925,41566.84607
637,18/1/28,884.2162117,43686.10855
636,18/1/27,914.982159,41243.26254
635,18/1/26,948.0524083,39776.82789
634,18/1/25,988.2134765,40621.42797
633,18/1/24,1024.806055,40651.45077
632,18/1/23,1068.108804,39023.13863
631,18/1/22,1085.172401,39294.88978
630,18/1/21,1040.302851,41822.08255
629,18/1/20,1024.271958,47623.77815
628,18/1/19,1067.739299,42675.47842
627,18/1/18,1101.247489,42348.09815
626,18/1/17,1148.125733,40692.53904
625,18/1/16,731.6437832,40778.26805
624,18/1/15,748.2764758,52535.52603
623,18/1/14,750.4979906,54769.62015
622,18/1/13,773.3507725,57821.91428
621,18/1/12,759.9327756,55542.84586
620,18/1/11,708.6276762,51050.86457
619,18/1/10,736.2565483,56403.97559
618,18/1/9,758.2570093,57166.86602
617,18/1/8,747.2213129,57504.48488
616,18/1/7,778.5662782,62848.82399
615,18/1/6,771.2704378,62895.25939
614,18/1/5,804.013968,58899.68348
613,18/1/4,835.9828867,58500.8183
612,18/1/3,825.5966976,56888.01301
611,18/1/2,812.7909151,51843.04291
610,18/1/1,844.3460068,47588.09681
609,17/12/31,844.3460068,48365.44489
608,17/12/30,817.3924264,44812.19088
607,17/12/29,846.1830997,48048.23896
606,17/12/28,844.9675258,44592.60315
605,17/12/27,878.6111198,47111.28421
604,17/12/26,820.9026939,47440.63791
603,17/12/25,855.8178751,42875.22529
602,17/12/24,872.0055778,42768.68179
601,17/12/23,847.8750694,44805.40925
600,17/12/22,613.8666642,40537.65707
599,17/12/21,631.9374525,47949.28581
598,17/12/20,655.9308967,48494.25505
597,17/12/19,683.830755,49205.10296
596,17/12/18,700.150435,48795.65841
595,17/12/17,729.0548121,46807.97194
594,17/12/16,719.6551363,46296.36243
593,17/12/15,744.8097688,43101.33917
592,17/12/14,747.3187283,41990.06991
591,17/12/13,778.3025868,39402.84099
590,17/12/12,747.6880655,39636.24926
589,17/12/11,707.4062214,36621.45502
588,17/12/10,736.7734292,33368.48
587,17/12/9,729.1202959,33264.96143
586,17/12/8,753.1878723,35770.83609
585,17/12/7,487.1728119,37055.04575
584,17/12/6,466.107218,30382.40255
583,17/12/5,472.566487,28773.2363
582,17/12/4,475.2250903,27655.83851
581,17/12/3,494.6446771,26167.41196
580,17/12/2,514.6557544,25874.83554
579,17/12/1,504.923875,25927.54245
578,17/11/30,504.923875,24251.7514
577,17/11/29,427.725067,22897.33783
576,17/11/28,427.1504675,24760.17497
575,17/11/27,413.1664171,23907.72668
574,17/11/26,400.1996762,22919.62122
573,17/11/25,392.3509733,21905.81003
572,17/11/24,386.0458364,21194.79377
571,17/11/23,400.4298984,20410.34226
570,17/11/22,401.8234285,19878.16303
569,17/11/21,413.5369734,19168.40772
568,17/11/20,420.2256356,19465.44935
567,17/11/19,435.7510711,18905.10396
566,17/11/18,451.0775761,18695.30912
565,17/11/17,467.9636629,18354.36197
564,17/11/16,475.9688804,17895.23672
563,17/11/15,449.4932667,17597.77305
562,17/11/14,446.263505,16735.34732
561,17/11/13,412.3759217,16177.24516
560,17/11/12,367.728137,15572.37612
559,17/11/11,383.2400514,16115.4187
558,17/11/10,324.6062752,15757.68675
557,17/11/9,336.9862875,16446.62962
556,17/11/8,307.789195,16507.90108
555,17/11/7,320.5197287,15772.90539
554,17/11/6,320.9549767,15659.3479
553,17/11/5,334.5770019,16013.31679
552,17/11/4,348.7117232,15970.58528
551,17/11/3,338.1319909,15880.48926
550,17/11/2,332.0355169,15414.63154
549,17/11/1,333.5854824,14869.46128
548,17/10/31,333.5854824,14449.91273
547,17/10/30,347.730629,14128.95835
546,17/10/29,319.2898345,14120.67111
545,17/10/28,332.6449988,13384.0713
544,17/10/27,345.7067315,13401.49457
543,17/10/26,357.9331795,13499.62767
542,17/10/25,370.9883814,13269.61142
541,17/10/24,372.7479886,13060.16602
540,17/10/23,383.4413264,13498.83297
539,17/10/22,397.2966579,13661.53782
538,17/10/21,414.1451338,13776.53292
537,17/10/20,428.8772489,13681.07088
536,17/10/19,447.1009301,13392.08601
535,17/10/18,461.2896663,13334.0485
534,17/10/17,474.6764602,13508.31173
533,17/10/16,494.7764499,13787.9659
532,17/10/15,515.7765614,13778.89211
531,17/10/14,537.5836234,13755.63413
530,17/10/13,511.358134,13656.60741
529,17/10/12,498.0949975,12843.38558
528,17/10/11,518.9492385,12130.89593
527,17/10/10,540.078849,12025.67707
526,17/10/9,562.8476161,11895.33619
525,17/10/8,583.0941917,11894.59466
524,17/10/7,606.9493476,11611.42932
523,17/10/6,630.1156676,11471.4909
522,17/10/5,655.7082965,11261.46929
521,17/10/4,679.5481602,11097.64041
520,17/10/3,704.8557547,11269.10546
519,17/10/2,734.7389906,11443.18063
518,17/10/1,765.7617317,11446.25358
517,17/9/30,765.7617317,11351.10731
516,17/9/29,796.6318075,10962.45445
515,17/9/28,829.2906613,11058.24492
514,17/9/27,837.9057403,11366.70984
513,17/9/26,872.5826777,10782.65852
512,17/9/25,898.6778769,10998.04874
511,17/9/24,935.3849551,10614.3014
510,17/9/23,950.320644,10486.47192
509,17/9/22,989.8707475,9819.529171
508,17/9/21,998.3493646,9921.039778
507,17/9/20,1039.964015,10617.02311
506,17/9/19,1080.823979,10707.75546
505,17/9/18,998.6383427,10885.06266
504,17/9/17,1040.928408,9534.629771
503,17/9/16,1085.171095,9692.35801
502,17/9/15,1014.024124,9689.39634
501,17/9/14,581.9729512,8414.229044
500,17/9/13,570.1717219,10679.09454
499,17/9/12,592.0748054,11275.29239
498,17/9/11,616.4605862,11404.71412
497,17/9/10,633.6032205,11274.79004
496,17/9/9,658.3728801,11575.23722
495,17/9/8,632.3617672,11712.46071
494,17/9/7,657.716656,12563.53995
493,17/9/6,671.9181836,12676.01669
492,17/9/5,685.2761343,12168.50941
491,17/9/4,601.4179219,11664.57768
490,17/9/3,625.1300919,12906.76591
489,17/9/2,569.3018777,12697.92575
488,17/9/1,587.3148791,13808.64474
487,17/8/31,587.3148791,13429.87437
486,17/8/30,581.4443967,12967.58326
485,17/8/29,575.6885552,12495.41178
484,17/8/28,588.6347494,12058.48002
483,17/8/27,612.837051,11794.96119
482,17/8/26,636.516518,11694.48995
481,17/8/25,661.5415002,11725.91628
480,17/8/24,689.2597867,11564.37369
479,17/8/23,711.8932521,11462.22627
478,17/8/22,735.3989949,11245.48521
477,17/8/21,754.1419819,11044.57813
476,17/8/20,781.0098639,10786.31674
475,17/8/19,813.9912308,10908.49895
474,17/8/18,782.9600086,10825.76524
473,17/8/17,807.3417927,11461.10211
472,17/8/16,829.3639697,11178.88397
471,17/8/15,858.2166015,10841.25679
470,17/8/14,888.1895455,10996.69307
469,17/8/13,921.0785247,10730.41976
468,17/8/12,942.7104225,10506.97468
467,17/8/11,957.4573657,10143.83472
466,17/8/10,998.1873768,9724.775687
465,17/8/9,1034.044113,9675.119116
464,17/8/8,1054.765463,9823.91339
463,17/8/7,1079.363455,9400.209729
462,17/8/6,1124.863413,9028.204969
461,17/8/5,974.4439187,9031.68124
460,17/8/4,1014.569914,8046.949453
459,17/8/3,1048.091966,7950.68222
458,17/8/2,1086.996012,7728.258095
457,17/8/1,1132.968234,7850.188933
456,17/7/31,1132.968234,7768.842015
455,17/7/30,1175.13351,7476.493672
454,17/7/29,1224.443355,7588.339329
453,17/7/28,1275.601786,7818.24689
452,17/7/27,1321.962479,7500.814913
451,17/7/26,1372.221624,7247.405886
450,17/7/25,1349.066421,7395.440267
449,17/7/24,1406.479717,8033.30774
448,17/7/23,1459.237993,8002.204611
447,17/7/22,1484.099208,8198.274529
446,17/7/21,1539.358782,7692.374026
445,17/7/20,1369.919942,7905.069245
444,17/7/19,1370.440348,6714.146519
443,17/7/18,1337.020025,7164.820328
442,17/7/17,1125.819373,6531.017101
441,17/7/16,1085.942943,5623.179906
440,17/7/15,960.4300082,6032.488712
439,17/7/14,942.135716,6736.247492
438,17/7/13,957.7376698,7146.693881
437,17/7/12,909.0135337,7393.320375
436,17/7/11,914.9263414,6875.790368
435,17/7/10,734.3414237,7136.984065
434,17/7/9,746.3575338,7917.250716
433,17/7/8,772.0311481,8130.531826
432,17/7/7,684.2512745,7951.656711
431,17/7/6,713.1987727,8553.752625
430,17/7/5,742.1028927,8550.877834
429,17/7/4,773.6634521,8594.197893
428,17/7/3,805.9314603,8560.348103
427,17/7/2,808.2402858,8475.134436
426,17/7/1,799.2281553,8094.944699
425,17/6/30,799.2281553,8471.914468
424,17/6/29,815.5009569,8791.333193
423,17/6/28,811.1761078,9044.482529
422,17/6/27,832.431317,8566.338169
421,17/6/26,764.3070234,8299.52413
420,17/6/25,773.9646138,8932.880649
419,17/6/24,750.0416356,9239.952616
418,17/6/23,777.338438,9736.267638
417,17/6/22,810.4059966,9545.910285
416,17/6/21,788.1053496,9510.895953
415,17/6/20,802.0382318,10024.29445
414,17/6/19,830.4734711,9736.022248
413,17/6/18,850.6879868,9487.431551
412,17/6/17,829.7542031,9741.479719
411,17/6/16,852.4988054,9162.902799
410,17/6/15,876.4138212,8879.28907
409,17/6/14,793.8517886,9067.913157
408,17/6/13,824.9792587,9868.508772
407,17/6/12,835.4760435,9732.891486
406,17/6/11,856.9768386,9944.817377
405,17/6/10,847.2327499,9636.301089
404,17/6/9,878.8487715,9092.978335
403,17/6/8,902.4909394,8893.548384
402,17/6/7,889.1782495,8589.570359
401,17/6/6,887.4726982,9073.520371
400,17/6/5,903.4102596,8594.798119
399,17/6/4,927.1764342,8246.037891
398,17/6/3,966.6334087,7975.585629
397,17/6/2,1003.9591,7940.360402
396,17/6/1,1007.057329,7787.903648
395,17/5/31,1007.057329,7313.223775
394,17/5/30,1047.266935,6868.993716
393,17/5/29,1054.073347,6863.330548
392,17/5/28,1029.611244,6522.083546
391,17/5/27,969.9624597,6083.235315
390,17/5/26,952.0420443,6619.194665
389,17/5/25,906.312852,6928.013758
388,17/5/24,859.8333186,7518.10555
387,17/5/23,695.424599,7153.138129
386,17/5/22,713.1970985,6520.295185
385,17/5/21,701.5810258,6480.957443
384,17/5/20,715.2570795,6194.483501
383,17/5/19,593.6956719,5997.808228
382,17/5/18,523.6223426,5672.18302
381,17/5/17,500.0007426,5491.978204
380,17/5/16,520.9403377,4809.959454
379,17/5/15,541.8086407,4809.959454
378,17/5/14,561.537918,4798.105983
377,17/5/13,573.477756,4722.396443
376,17/5/12,558.2818949,4605.278094
375,17/5/11,574.7943664,4687.249195
374,17/5/10,578.5235463,4612.844658
373,17/5/9,602.9812722,4428.155178
372,17/5/8,574.52589,4502.155158
371,17/5/7,595.8267181,4170.183366
370,17/5/6,578.4707731,4030.507623
369,17/5/5,600.3685858,3850.648383
368,17/5/4,523.8690487,3783.459057
367,17/5/3,490.7161096,3547.618448
366,17/5/2,504.3456106,3393.758248
365,17/5/1,521.1284269,3332.326765
364,17/4/30,521.1284269,3279.401557
363,17/4/29,541.67161,3174.96872
362,17/4/28,539.2710269,3126.650667
361,17/4/27,424.3409787,3022.018828
360,17/4/26,407.8685162,2855.879138
359,17/4/25,423.8616927,2778.740113
358,17/4/24,441.8904532,2753.620474
357,17/4/23,460.5558969,2743.754497
356,17/4/22,479.3080111,2729.593503
355,17/4/21,499.2145345,2729.839298
354,17/4/20,498.4135559,2723.446755
353,17/4/19,512.2038533,2654.447674
352,17/4/18,528.0015241,2681.231545
351,17/4/17,548.1563219,2644.034824
350,17/4/16,571.3659724,2614.743913
349,17/4/15,595.4567708,2610.940695
348,17/4/14,619.445313,2597.485282
347,17/4/13,636.7051798,2601.977407
346,17/4/12,661.694111,2641.438344
345,17/4/11,688.8379326,2614.805563
344,17/4/10,717.4443494,2591.44745
343,17/4/9,747.8913861,2569.966759
342,17/4/8,779.6399594,2566.78912
341,17/4/7,811.9073371,2558.873333
340,17/4/6,837.424139,2558.887114
339,17/4/5,867.400561,2503.753756
338,17/4/4,903.9142564,2465.448703
337,17/4/3,939.1075523,2458.333487
336,17/4/2,965.7928885,2514.041781
335,17/4/1,1006.375415,2393.698718
334,17/3/31,1006.375415,2373.523009
333,17/3/30,1049.098743,2298.285798
332,17/3/29,1093.315972,2287.400008
331,17/3/28,1139.837923,2274.159845
330,17/3/27,1094.724784,2255.370147
329,17/3/26,1137.915514,2126.429602
328,17/3/25,1180.813469,2150.213194
327,17/3/24,1144.040055,2119.584593
326,17/3/23,1192.018021,2192.294259
325,17/3/22,1174.659714,2182.747341
324,17/3/21,1163.705413,2306.76126
323,17/3/20,1212.941176,2180.848486
322,17/3/19,1179.653275,2183.457377
321,17/3/18,975.421621,1977.231594
320,17/3/17,752.408092,2251.305762
319,17/3/16,769.5916994,2445.149731
318,17/3/15,793.8792227,2469.096568
317,17/3/14,827.6603607,2390.494307
316,17/3/13,853.2611092,2375.375331
315,17/3/12,854.7303067,2305.094901
314,17/3/11,768.5631112,2206.020879
313,17/3/10,671.8676999,2037.310122
312,17/3/9,666.7181196,2172.778481
311,17/3/8,512.0679433,2090.558155
310,17/3/7,472.8521178,2248.391678
309,17/3/6,492.7259649,2332.025534
308,17/3/5,513.1653518,2317.541299
307,17/3/4,517.2776252,2300.942608
306,17/3/3,525.2164714,2345.507426
305,17/3/2,514.6041802,2291.562039
304,17/3/1,494.8834145,2215.227432
303,17/2/28,494.8834145,2134.476475
302,17/2/27,513.005565,2135.827828
301,17/2/26,512.6300677,2108.334576
300,17/2/25,511.1430048,2047.808366
299,17/2/24,530.6404409,2094.782904
298,17/2/23,470.3088278,2103.62325
297,17/2/22,489.3928154,1997.060932
296,17/2/21,470.7225073,2001.011344
295,17/2/20,475.4573296,1930.235892
294,17/2/19,493.7457187,1885.245268
293,17/2/18,514.6398914,1893.073379
292,17/2/17,529.0355495,1890.038525
291,17/2/16,539.4180058,1856.113859
290,17/2/15,561.8066109,1815.234639
289,17/2/14,575.661915,1816.971845
288,17/2/13,598.3398459,1777.551944
287,17/2/12,618.9563702,1785.536988
286,17/2/11,639.0041612,1802.849261
285,17/2/10,664.2868737,1770.233166
284,17/2/9,538.7130855,1749.557673
283,17/2/8,561.6303572,1874.801064
282,17/2/7,571.1348355,1869.778414
281,17/2/6,594.9938028,1824.051393
280,17/2/5,610.3323323,1811.027108
279,17/2/4,630.1625131,1838.746924
278,17/2/3,656.6789849,1805.894962
277,17/2/2,676.865945,1793.862495
276,17/2/1,700.297867,1757.550234
275,17/1/31,700.297867,1726.512763
274,17/1/30,729.3366713,1650.142729
273,17/1/29,758.0347167,1635.471486
272,17/1/28,790.3051226,1645.550408
271,17/1/27,823.9283226,1640.557501
270,17/1/26,849.4811684,1636.745618
269,17/1/25,885.1640107,1598.356644
268,17/1/24,889.751097,1585.632276
267,17/1/23,927.4841459,1644.033082
266,17/1/22,966.481184,1642.997961
265,17/1/21,993.5509479,1645.850845
264,17/1/20,1034.575174,1596.867672
263,17/1/19,1070.031414,1604.517307
262,17/1/18,1094.400823,1564.328999
261,17/1/17,1027.33487,1613.846449
260,17/1/16,1070.804228,1486.615191
259,17/1/15,1116.371099,1475.927448
258,17/1/14,1162.5433,1469.408086
257,17/1/13,1202.697073,1477.265662
256,17/1/12,1249.888419,1438.008742
255,17/1/11,955.4916051,1410.373237
254,17/1/10,995.9060032,1619.516888
253,17/1/9,1036.911339,1607.697761
252,17/1/8,1080.169933,1616.232233
251,17/1/7,1126.146437,1598.931487
250,17/1/6,1000.217693,1593.464083
249,17/1/5,661.5846239,1751.581785
248,17/1/4,435.176772,1987.19312
247,17/1/3,440.0780927,1815.817644
246,17/1/2,442.6417013,1777.585922
245,17/1/1,434.4261674,1737.415591
244,16/12/31,434.4261674,1688.617567
243,16/12/30,446.8742357,1680.169704
242,16/12/29,465.7817102,1695.375091
241,16/12/28,395.7330908,1694.928115
240,16/12/27,388.3241545,1612.196501
239,16/12/26,403.2381045,1568.79067
238,16/12/25,420.3524199,1554.474914
237,16/12/24,408.0797901,1551.076176
236,16/12/23,280.0241243,1588.457862
235,16/12/22,235.2495835,1498.952869
234,16/12/21,183.529463,1450.613045
233,16/12/20,186.8876044,1407.188626
232,16/12/19,193.915772,1393.064098
231,16/12/18,201.9006333,1391.78965
230,16/12/17,209.1258705,1389.66582
229,16/12/16,216.2424257,1379.734194
228,16/12/15,222.6491761,1368.747782
227,16/12/14,228.463,1371.250179
226,16/12/13,236.8336608,1376.216363
225,16/12/12,239.2489657,1377.364975
224,16/12/11,245.607943,1359.156601
223,16/12/10,255.1101462,1364.589829
